# LootCouncil EX — Tier 5 token source (Serpentshrine Cavern + Tempest Keep).
# Columns: tokenID,name,class,pieceID
#   class   = WoW class token (uppercase). Token lines: Champion = Rogue/Shaman/Paladin,
#             Defender = Druid/Priest/Warrior, Hero = Warlock/Hunter/Mage.
#   pieceID = the actual armor item the class redeems for this token. A class with spec-variant
#             tier sets (paladin/shaman/druid/warrior/priest) redeems into SEVERAL items, so it
#             gets one row PER piece; the converter accumulates pieces[CLASS] into a list.
# Verified vs AtlasLoot: token IDs/names from data-tbc.lua; piece IDs from Data/ItemSet.lua
#   (set order helm,shoulder,chest,hands,legs); class groupings from warcraft.wiki.gg.
# Regenerate Core/Data/TierTokens.lua with:  lua tools/build_data.lua
tokenID,name,class,pieceID
30240,Gloves of the Vanquished Defender,PRIEST,30151
30240,Gloves of the Vanquished Defender,PRIEST,30160
30240,Gloves of the Vanquished Defender,WARRIOR,30114
30240,Gloves of the Vanquished Defender,WARRIOR,30119
30241,Gloves of the Vanquished Hero,WARLOCK,30211
30241,Gloves of the Vanquished Hero,HUNTER,30140
30241,Gloves of the Vanquished Hero,MAGE,30205
# ── Leggings (drops: Fathom-Lord Karathress) ───────────────────────────────────
30245,Leggings of the Vanquished Champion,ROGUE,30148
30245,Leggings of the Vanquished Champion,SHAMAN,30167
30245,Leggings of the Vanquished Champion,SHAMAN,30172
30245,Leggings of the Vanquished Champion,SHAMAN,30192
30245,Leggings of the Vanquished Champion,PALADIN,30137
30245,Leggings of the Vanquished Champion,PALADIN,30126
30245,Leggings of the Vanquished Champion,PALADIN,30132
30246,Leggings of the Vanquished Defender,DRUID,30229
30246,Leggings of the Vanquished Defender,DRUID,30220
30246,Leggings of the Vanquished Defender,DRUID,30234
30246,Leggings of the Vanquished Defender,PRIEST,30153
30246,Leggings of the Vanquished Defender,PRIEST,30162
30246,Leggings of the Vanquished Defender,WARRIOR,30116
30246,Leggings of the Vanquished Defender,WARRIOR,30121
30247,Leggings of the Vanquished Hero,WARLOCK,30213
30247,Leggings of the Vanquished Hero,HUNTER,30142
30247,Leggings of the Vanquished Hero,MAGE,30207
